x-axis,1,2,3,4
-126.0000E-03,-206.9045E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-125.7500E-03,-227.0050E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-125.5000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-125.2500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-125.0000E-03,-247.1055E-03,-80.4020E-03,-160.8040E-03,+3.2165829E+00
-124.7500E-03,-227.0050E-03,-80.4020E-03,-160.8040E-03,+3.2366834E+00
-124.5000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-124.2500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-124.0000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-123.7500E-03,-227.0050E-03,-80.4020E-03,-201.0050E-03,+3.2768844E+00
-123.5000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-123.2500E-03,-267.2060E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-123.0000E-03,-267.2060E-03,-80.4020E-03,-180.9045E-03,+3.1964824E+00
-122.7500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-122.5000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-122.2500E-03,-267.2060E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-122.0000E-03,-206.9045E-03,-80.4020E-03,-100.5025E-03,+3.2165829E+00
-121.7500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-121.5000E-03,-206.9045E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-121.2500E-03,-186.8040E-03,-0.0E+00,-160.8040E-03,+3.1964824E+00
-121.0000E-03,-267.2060E-03,-80.4020E-03,-160.8040E-03,+3.2567839E+00
-120.7500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-120.5000E-03,-206.9045E-03,-20.1005E-03,-160.8040E-03,+3.2165829E+00
-120.2500E-03,-267.2060E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-120.0000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-119.7500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-119.5000E-03,-206.9045E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-119.2500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-119.0000E-03,-206.9045E-03,-80.4020E-03,-160.8040E-03,+3.2165829E+00
-118.7500E-03,-227.0050E-03,-80.4020E-03,-201.0050E-03,+3.2366834E+00
-118.5000E-03,-247.1055E-03,-80.4020E-03,-221.1055E-03,+3.2768844E+00
-118.2500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-118.0000E-03,-247.1055E-03,-80.4020E-03,-221.1055E-03,+3.2768844E+00
-117.7500E-03,-267.2060E-03,-120.6030E-03,-160.8040E-03,+3.2366834E+00
-117.5000E-03,-186.8040E-03,-80.4020E-03,-180.9045E-03,+3.1964824E+00
-117.2500E-03,-267.2060E-03,-80.4020E-03,-241.2060E-03,+3.1964824E+00
-117.0000E-03,-247.1055E-03,-80.4020E-03,-160.8040E-03,+3.2567839E+00
-116.7500E-03,-227.0050E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-116.5000E-03,-206.9045E-03,-80.4020E-03,-160.8040E-03,+3.2165829E+00
-116.2500E-03,-267.2060E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-116.0000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2567839E+00
-115.7500E-03,-186.8040E-03,-80.4020E-03,-201.0050E-03,+3.2366834E+00
-115.5000E-03,-206.9045E-03,-100.5025E-03,-160.8040E-03,+3.1964824E+00
-115.2500E-03,-267.2060E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-115.0000E-03,-206.9045E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-114.7500E-03,-186.8040E-03,-80.4020E-03,-201.0050E-03,+3.2768844E+00
-114.5000E-03,-247.1055E-03,-80.4020E-03,-160.8040E-03,+3.2165829E+00
-114.2500E-03,-186.8040E-03,-80.4020E-03,-241.2060E-03,+3.1964824E+00
-114.0000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-113.7500E-03,-227.0050E-03,-80.4020E-03,-201.0050E-03,+3.1964824E+00
-113.5000E-03,-206.9045E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-113.2500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-113.0000E-03,-247.1055E-03,-80.4020E-03,-160.8040E-03,+3.2567839E+00
-112.7500E-03,-186.8040E-03,-80.4020E-03,-201.0050E-03,+3.2366834E+00
-112.5000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2165829E+00
-112.2500E-03,-267.2060E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-112.0000E-03,-247.1055E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-111.7500E-03,-267.2060E-03,-40.2010E-03,-201.0050E-03,+3.2768844E+00
-111.5000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2567839E+00
-111.2500E-03,-267.2060E-03,-80.4020E-03,-241.2060E-03,+3.2768844E+00
-111.0000E-03,-267.2060E-03,-80.4020E-03,-160.8040E-03,+3.2567839E+00
-110.7500E-03,-227.0050E-03,-80.4020E-03,-160.8040E-03,+3.2366834E+00
-110.5000E-03,-206.9045E-03,-20.1005E-03,-160.8040E-03,+3.2165829E+00
-110.2500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-110.0000E-03,-206.9045E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-109.7500E-03,-186.8040E-03,-120.6030E-03,-160.8040E-03,+3.2768844E+00
-109.5000E-03,-206.9045E-03,-80.4020E-03,-221.1055E-03,+3.2165829E+00
-109.2500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-109.0000E-03,-206.9045E-03,-80.4020E-03,-180.9045E-03,+3.2768844E+00
-108.7500E-03,-227.0050E-03,-80.4020E-03,-160.8040E-03,+3.2366834E+00
-108.5000E-03,-186.8040E-03,-80.4020E-03,-180.9045E-03,+3.1964824E+00
-108.2500E-03,-267.2060E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-108.0000E-03,-247.1055E-03,-80.4020E-03,-160.8040E-03,+3.2165829E+00
-107.7500E-03,-227.0050E-03,-40.2010E-03,-160.8040E-03,+3.1964824E+00
-107.5000E-03,-206.9045E-03,-80.4020E-03,-160.8040E-03,+3.2165829E+00
-107.2500E-03,-267.2060E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-107.0000E-03,-247.1055E-03,-80.4020E-03,-180.9045E-03,+3.2768844E+00
-106.7500E-03,-227.0050E-03,-80.4020E-03,-160.8040E-03,+3.2366834E+00
-106.5000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2567839E+00
-106.2500E-03,-267.2060E-03,-80.4020E-03,-241.2060E-03,+3.1964824E+00
-106.0000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2567839E+00
-105.7500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2366834E+00
-105.5000E-03,-206.9045E-03,-80.4020E-03,-160.8040E-03,+3.2567839E+00
-105.2500E-03,-267.2060E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-105.0000E-03,-186.8040E-03,-80.4020E-03,-221.1055E-03,+3.1964824E+00
-104.7500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-104.5000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2567839E+00
-104.2500E-03,-186.8040E-03,-80.4020E-03,-241.2060E-03,+3.2768844E+00
-104.0000E-03,-186.8040E-03,-80.4020E-03,-221.1055E-03,+3.2768844E+00
-103.7500E-03,-227.0050E-03,-80.4020E-03,-201.0050E-03,+3.1964824E+00
-103.5000E-03,-247.1055E-03,-80.4020E-03,-160.8040E-03,+3.2567839E+00
-103.2500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-103.0000E-03,-247.1055E-03,-80.4020E-03,-241.2060E-03,+3.2567839E+00
-102.7500E-03,-186.8040E-03,-80.4020E-03,-201.0050E-03,+3.1964824E+00
-102.5000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-102.2500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-102.0000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2165829E+00
-101.7500E-03,-267.2060E-03,-80.4020E-03,-201.0050E-03,+3.2768844E+00
-101.5000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2165829E+00
-101.2500E-03,-186.8040E-03,-0.0E+00,-160.8040E-03,+3.1964824E+00
-101.0000E-03,-186.8040E-03,-80.4020E-03,-100.5025E-03,+3.2768844E+00
-100.7500E-03,-186.8040E-03,-40.2010E-03,-201.0050E-03,+3.2366834E+00
-100.5000E-03,-247.1055E-03,-80.4020E-03,-180.9045E-03,+3.2567839E+00
-100.2500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-100.0000E-03,-247.1055E-03,-80.4020E-03,-180.9045E-03,+3.2768844E+00
-99.7500E-03,-227.0050E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-99.5000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2165829E+00
-99.2500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-99.0000E-03,-247.1055E-03,-80.4020E-03,-160.8040E-03,+3.2567839E+00
-98.7500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-98.5000E-03,-267.2060E-03,-100.5025E-03,-241.2060E-03,+3.1964824E+00
-98.2500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-98.0000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2165829E+00
-97.7500E-03,-227.0050E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-97.5000E-03,-206.9045E-03,-80.4020E-03,-160.8040E-03,+3.2567839E+00
-97.2500E-03,-267.2060E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-97.0000E-03,-206.9045E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-96.7500E-03,-267.2060E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-96.5000E-03,-247.1055E-03,-20.1005E-03,-160.8040E-03,+3.1964824E+00
-96.2500E-03,-267.2060E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-96.0000E-03,-186.8040E-03,-80.4020E-03,-221.1055E-03,+3.1964824E+00
-95.7500E-03,-227.0050E-03,-80.4020E-03,-160.8040E-03,+3.2366834E+00
-95.5000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-95.2500E-03,-186.8040E-03,-80.4020E-03,-241.2060E-03,+3.2768844E+00
-95.0000E-03,-186.8040E-03,-140.7035E-03,-160.8040E-03,+3.2165829E+00
-94.7500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2366834E+00
-94.5000E-03,-206.9045E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-94.2500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-94.0000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-93.7500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2366834E+00
-93.5000E-03,-267.2060E-03,-80.4020E-03,-160.8040E-03,+3.2165829E+00
-93.2500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-93.0000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-92.7500E-03,-227.0050E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-92.5000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2567839E+00
-92.2500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-92.0000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-91.7500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2366834E+00
-91.5000E-03,-247.1055E-03,-80.4020E-03,-180.9045E-03,+3.2768844E+00
-91.2500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-91.0000E-03,-186.8040E-03,-80.4020E-03,-180.9045E-03,+3.2165829E+00
-90.7500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-90.5000E-03,-186.8040E-03,-80.4020E-03,-180.9045E-03,+3.2567839E+00
-90.2500E-03,-267.2060E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-90.0000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-89.7500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2366834E+00
-89.5000E-03,-247.1055E-03,-20.1005E-03,-160.8040E-03,+3.2567839E+00
-89.2500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-89.0000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-88.7500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-88.5000E-03,-267.2060E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-88.2500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-88.0000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-87.7500E-03,-227.0050E-03,-80.4020E-03,-160.8040E-03,+3.2366834E+00
-87.5000E-03,-247.1055E-03,-80.4020E-03,-160.8040E-03,+3.2165829E+00
-87.2500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-87.0000E-03,-247.1055E-03,-80.4020E-03,-160.8040E-03,+3.2165829E+00
-86.7500E-03,-227.0050E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-86.5000E-03,-247.1055E-03,-80.4020E-03,-160.8040E-03,+3.2165829E+00
-86.2500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-86.0000E-03,-206.9045E-03,-80.4020E-03,-160.8040E-03,+3.2165829E+00
-85.7500E-03,-227.0050E-03,-40.2010E-03,-160.8040E-03,+3.1964824E+00
-85.5000E-03,-247.1055E-03,+0.0E+00,-160.8040E-03,+3.2567839E+00
-85.2500E-03,-186.8040E-03,-0.0E+00,-160.8040E-03,+3.2768844E+00
-85.0000E-03,-186.8040E-03,-60.3015E-03,-160.8040E-03,+3.2165829E+00
-84.7500E-03,-227.0050E-03,-80.4020E-03,-201.0050E-03,+3.2366834E+00
-84.5000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2567839E+00
-84.2500E-03,-267.2060E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-84.0000E-03,-186.8040E-03,-80.4020E-03,-180.9045E-03,+3.2768844E+00
-83.7500E-03,-227.0050E-03,-40.2010E-03,-160.8040E-03,+3.2366834E+00
-83.5000E-03,-247.1055E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-83.2500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-83.0000E-03,-186.8040E-03,-80.4020E-03,-180.9045E-03,+3.2165829E+00
-82.7500E-03,-186.8040E-03,-80.4020E-03,-201.0050E-03,+3.2366834E+00
-82.5000E-03,-247.1055E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-82.2500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-82.0000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2165829E+00
-81.7500E-03,-227.0050E-03,-80.4020E-03,-160.8040E-03,+3.2366834E+00
-81.5000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.2768844E+00
-81.2500E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-81.0000E-03,-267.2060E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
-80.7500E-03,-186.8040E-03,-40.2010E-03,-160.8040E-03,+3.1964824E+00
-80.5000E-03,-186.8040E-03,-80.4020E-03,-160.8040E-03,+3.1964824E+00
